epoch,node,cpu_sketch,cpu_es,mem_avail_sketch,mem_avail_es
1,UGS-23,0.144344,0.145233,1.563019,1.562563
1,UGS-24,0.138595,0.139139,1.627302,1.627208
1,UGS-25,0.055143,0.055107,1.627953,1.628242
1,UGS-26,0.136905,0.136465,1.532351,1.532397
1,UGS-27,0.057606,0.058143,1.611712,1.611773
1,UGS-28,0.149437,0.149068,1.576857,1.576744
1,UGS-29,0.058317,0.058760,1.630537,1.630537
1,UGS-3,0.065024,0.065035,1.610966,1.610793
1,UGS-4,0.055928,0.056361,1.688780,1.688986
1,UGS-5,0.128596,0.128503,1.574939,1.574834
1,UGS-6,0.055319,0.055388,1.604808,1.604837
1,UGS-7,0.060462,0.061746,1.547400,1.547189
1,UGS-8,0.141625,0.141992,1.572359,1.572273
1,UGS-9,0.160293,0.159464,1.612563,1.612025
2,APC-0,1.348445,1.320109,13.625917,13.628473
2,APC-1,0.135523,0.137316,13.963826,13.965381
2,APC-2,0.203659,0.207178,13.823228,13.821159
2,APC-3,0.204750,0.208271,13.964300,13.964313
2,CHQ-1,1.859617,1.880793,17.718801,17.715450
2,PLT-0,0.741672,0.758565,13.662601,13.663944
2,PLT-1,0.306107,0.521447,13.702083,13.700724
2,PLT-10,1.575585,1.557410,14.106144,14.108527
2,PLT-11,0.241816,0.395265,14.169531,14.172245
2,PLT-2,0.471157,0.574472,13.765734,13.771193
2,PLT-3,1.536255,1.435590,14.129757,14.128895
2,PLT-4,1.689454,1.621726,14.114590,14.118201
2,PLT-5,0.168385,0.168812,14.101793,14.105007
2,PLT-6,0.068547,0.068537,14.132935,14.128524
2,PLT-7,0.171674,0.171355,14.111425,14.118657
2,PLT-8,0.064459,0.064862,14.150939,14.151014
2,PLT-9,0.281548,0.483459,14.114305,14.114561
2,UGS-0,0.070811,0.070804,1.735200,1.735272
2,UGS-1,0.153480,0.153708,1.623611,1.624017
2,UGS-10,0.057411,0.057151,1.547024,1.547480
2,UGS-11,0.143782,0.143494,1.569156,1.569279
2,UGS-12,0.061409,0.061264,1.550408,1.550279
2,UGS-13,0.131991,0.132780,1.617718,1.617709
2,UGS-14,0.051565,0.051782,1.570286,1.571115
2,UGS-15,0.057385,0.057605,1.635106,1.635738
2,UGS-16,0.137994,0.138252,1.561084,1.561170
2,UGS-2,0.135305,0.136149,1.567154,1.566408
2,UGS-20,0.057968,0.058035,1.617484,1.617173
2,UGS-21,0.139551,0.140742,1.518978,1.519135
2,UGS-22,0.146528,0.145761,1.501638,1.501023
2,UGS-23,0.144554,0.145030,1.562592,1.562201
2,UGS-24,0.138890,0.139176,1.626768,1.626770
2,UGS-25,0.055049,0.055213,1.627819,1.628873
2,UGS-26,0.137142,0.136885,1.531719,1.532100
2,UGS-27,0.057759,0.058058,1.611673,1.612034
2,UGS-28,0.149375,0.148684,1.577595,1.577520
2,UGS-29,0.058298,0.058941,1.630571,1.630044
2,UGS-3,0.064939,0.065153,1.611225,1.610669
2,UGS-4,0.056318,0.056346,1.688305,1.688403
2,UGS-5,0.128312,0.128876,1.574586,1.574348
2,UGS-6,0.055422,0.055351,1.604399,1.604146
2,UGS-7,0.060598,0.061346,1.547263,1.547312
2,UGS-8,0.141722,0.142133,1.572142,1.572237
2,UGS-9,0.160398,0.159637,1.611841,1.612087
3,APC-0,1.344903,1.344765,13.623765,13.627189
3,APC-1,0.136249,0.136783,13.968731,13.967901
3,APC-2,0.202630,0.204397,13.820574,13.822899
3,APC-3,0.203352,0.207366,13.962828,13.960132
3,CHQ-1,1.853959,1.876250,17.715937,17.715488
3,PLT-0,0.719262,0.717812,13.656951,13.658316
3,PLT-1,0.316232,0.502089,13.697229,13.698221
3,PLT-10,1.581176,1.581205,14.106503,14.104713
3,PLT-11,0.245988,0.404498,14.164188,14.166946
3,PLT-2,0.478541,0.557694,13.775556,13.775054
3,PLT-3,1.528574,1.507109,14.129128,14.128569
3,PLT-4,1.678999,1.667520,14.114918,14.116958
3,PLT-5,0.168443,0.169074,14.106975,14.106600
3,PLT-6,0.068458,0.068600,14.127495,14.132241
3,PLT-7,0.169455,0.171437,14.116149,14.116237
3,PLT-8,0.064799,0.064680,14.148189,14.147817
3,PLT-9,0.283828,0.450254,14.114290,14.111635
3,UGS-0,0.070682,0.070566,1.735584,1.735552
3,UGS-1,0.151412,0.153453,1.623587,1.623979
3,UGS-10,0.056964,0.056924,1.546589,1.547192
3,UGS-11,0.143380,0.143954,1.568846,1.569087
3,UGS-12,0.061513,0.061409,1.549414,1.550172
3,UGS-13,0.131619,0.132571,1.617619,1.617417
3,UGS-14,0.051637,0.051767,1.570629,1.570713
3,UGS-15,0.057182,0.057353,1.636087,1.635801
3,UGS-16,0.137777,0.138368,1.559781,1.560797
3,UGS-2,0.134848,0.136008,1.566814,1.566408
3,UGS-20,0.057937,0.058012,1.617265,1.617346
3,UGS-21,0.140267,0.140599,1.519432,1.519339
3,UGS-22,0.146702,0.146081,1.500811,1.500868
3,UGS-23,0.144945,0.145178,1.562530,1.562640
3,UGS-24,0.138291,0.138942,1.627381,1.627452
3,UGS-25,0.055077,0.055066,1.628182,1.628200
3,UGS-26,0.135947,0.136562,1.532013,1.532134
3,UGS-27,0.058067,0.058306,1.612284,1.612309
3,UGS-28,0.148695,0.148808,1.576267,1.576775
3,UGS-29,0.058731,0.058711,1.629420,1.629795
3,UGS-3,0.065278,0.065015,1.610561,1.611073
3,UGS-4,0.056179,0.056378,1.688737,1.688810
3,UGS-5,0.128231,0.128349,1.574656,1.574627
3,UGS-6,0.055298,0.055430,1.604037,1.604294
3,UGS-7,0.060174,0.061673,1.547392,1.546918
3,UGS-8,0.141961,0.141892,1.572688,1.572773
3,UGS-9,0.159562,0.159694,1.612741,1.612350
4,APC-0,1.345044,1.337453,13.628417,13.629127
4,APC-1,0.135866,0.136810,13.971218,13.970136
4,APC-2,0.203624,0.206637,13.821625,13.821557
4,APC-3,0.203226,0.209703,13.963765,13.959439
4,CHQ-1,1.859540,1.890093,17.715242,17.717216
4,PLT-0,0.722735,0.755106,13.662883,13.663667
4,PLT-1,0.306770,0.451325,13.703999,13.702242
4,PLT-10,1.583544,1.552184,14.111047,14.110727
4,PLT-11,0.243489,0.370376,14.170020,14.171239
4,PLT-2,0.482692,0.551106,13.774670,13.772955
4,PLT-3,1.530343,1.495222,14.130582,14.131245
4,PLT-4,1.683573,1.645190,14.115604,14.115307
4,PLT-5,0.167873,0.169745,14.104746,14.104419
4,PLT-6,0.068491,0.068619,14.130570,14.133150
4,PLT-7,0.169768,0.172072,14.116576,14.117249
4,PLT-8,0.064045,0.064981,14.154179,14.151163
4,PLT-9,0.274352,0.365800,14.113726,14.110121
4,UGS-0,0.070741,0.070382,1.735142,1.735070
4,UGS-1,0.153854,0.153381,1.623925,1.624055
4,UGS-10,0.057303,0.057017,1.547421,1.547689
4,UGS-11,0.143309,0.144004,1.568873,1.568860
4,UGS-12,0.061518,0.061298,1.550984,1.550151
4,UGS-13,0.132527,0.132483,1.617051,1.617124
4,UGS-14,0.051551,0.051798,1.571322,1.570896
4,UGS-15,0.057402,0.057193,1.635976,1.636583
4,UGS-16,0.137688,0.137533,1.561564,1.561250
4,UGS-2,0.134351,0.135569,1.565725,1.566625
4,UGS-20,0.058138,0.058072,1.618213,1.617753
4,UGS-21,0.139534,0.140303,1.518721,1.518823
4,UGS-22,0.146226,0.145570,1.500562,1.500482
4,UGS-23,0.144485,0.145016,1.562503,1.562588
4,UGS-24,0.138321,0.138899,1.626937,1.626843
4,UGS-25,0.055102,0.055195,1.628170,1.628748
4,UGS-26,0.136803,0.136654,1.531982,1.531945
4,UGS-27,0.057709,0.058047,1.612195,1.611950
4,UGS-28,0.148786,0.149550,1.577271,1.577171
4,UGS-29,0.058783,0.058375,1.630695,1.629682
4,UGS-3,0.065236,0.065094,1.610413,1.610739
4,UGS-4,0.056278,0.056424,1.689014,1.689106
4,UGS-5,0.128829,0.128304,1.574696,1.574271
4,UGS-6,0.055600,0.055486,1.604629,1.604462
4,UGS-7,0.060063,0.061273,1.546661,1.546838
4,UGS-8,0.142246,0.142180,1.571221,1.572126
4,UGS-9,0.160977,0.159737,1.612354,1.612720
5,APC-0,1.344431,1.345637,13.629391,13.631523
5,APC-1,0.135018,0.136845,13.967188,13.966677
5,APC-2,0.202649,0.203943,13.820975,13.822565
5,APC-3,0.203206,0.208452,13.961673,13.960186
5,CHQ-1,1.859948,1.862540,17.717768,17.714230
5,PLT-0,0.720765,0.765649,13.663337,13.662567
5,PLT-1,0.309946,0.446331,13.698252,13.697486
5,PLT-10,1.583732,1.581244,14.108685,14.111818
5,PLT-11,0.244415,0.417772,14.171302,14.171696
5,PLT-2,0.468355,0.577941,13.775595,13.772650
5,PLT-3,1.522631,1.480463,14.130903,14.132415
5,PLT-4,1.679785,1.612823,14.109750,14.116134
5,PLT-5,0.169232,0.170484,14.104699,14.106494
5,PLT-6,0.068651,0.068559,14.139106,14.133490
5,PLT-7,0.171005,0.171326,14.118937,14.119818
5,PLT-8,0.064441,0.064704,14.153464,14.153275
5,PLT-9,0.294840,0.403656,14.112149,14.114471
5,UGS-0,0.070548,0.070686,1.735236,1.734996
5,UGS-1,0.153075,0.153802,1.623776,1.623852
5,UGS-10,0.057148,0.056702,1.547215,1.547032
5,UGS-11,0.144247,0.143337,1.569316,1.569516
5,UGS-12,0.061595,0.061393,1.550745,1.550669
5,UGS-13,0.131456,0.133241,1.617674,1.617521
5,UGS-14,0.051678,0.051768,1.570806,1.571082
5,UGS-15,0.057774,0.057383,1.638294,1.637168
5,UGS-16,0.138353,0.137964,1.561339,1.561502
5,UGS-2,0.134212,0.135487,1.566058,1.566291
5,UGS-20,0.058095,0.058079,1.617567,1.617123
5,UGS-21,0.139749,0.140576,1.519038,1.518871
5,UGS-22,0.146545,0.146271,1.500373,1.500501
5,UGS-23,0.145148,0.145751,1.562761,1.562317
5,UGS-24,0.137449,0.138747,1.627068,1.626893
5,UGS-25,0.054906,0.055178,1.628039,1.628413
5,UGS-26,0.136236,0.136459,1.532571,1.532342
5,UGS-27,0.058030,0.058291,1.612513,1.612331
5,UGS-28,0.149553,0.148915,1.577034,1.577017
5,UGS-29,0.058765,0.058986,1.630133,1.630162
5,UGS-3,0.065537,0.065063,1.611087,1.610870
5,UGS-4,0.056195,0.056303,1.688695,1.688374
5,UGS-5,0.128105,0.128278,1.574201,1.574571
5,UGS-6,0.055523,0.055429,1.604038,1.604282
5,UGS-7,0.060930,0.061406,1.546867,1.546541
5,UGS-8,0.142739,0.142885,1.573262,1.572914
5,UGS-9,0.160250,0.158929,1.612302,1.612278
6,APC-0,1.348411,1.343512,13.622097,13.628243
6,APC-1,0.137153,0.137963,13.961888,13.966122
6,APC-2,0.203390,0.205865,13.819898,13.822030
6,APC-3,0.203275,0.206797,13.956543,13.957943
6,CHQ-1,1.857722,1.873708,17.709751,17.715294
6,PLT-0,0.680412,0.741550,13.658724,13.660734
6,PLT-1,0.307619,0.501195,13.698055,13.699711
6,PLT-10,1.585958,1.545170,14.108066,14.105636
6,PLT-11,0.247460,0.379237,14.168900,14.168587
6,PLT-2,0.460203,0.566907,13.771883,13.775051
6,PLT-3,1.541305,1.490504,14.133434,14.129926
6,PLT-4,1.681731,1.642607,14.113712,14.114283
6,PLT-5,0.167665,0.168746,14.105900,14.109283
6,PLT-6,0.068444,0.068591,14.131315,14.130598
6,PLT-7,0.171461,0.170971,14.111429,14.115784
6,PLT-8,0.064283,0.064409,14.150910,14.155292
6,PLT-9,0.279965,0.430470,14.114691,14.110327
6,UGS-0,0.070201,0.070535,1.735219,1.735484
6,UGS-1,0.152861,0.153777,1.623870,1.623676
6,UGS-10,0.057042,0.057001,1.547436,1.547621
6,UGS-11,0.143126,0.143502,1.568897,1.569322
6,UGS-12,0.061433,0.061142,1.551498,1.550931
6,UGS-13,0.131253,0.132143,1.616735,1.617130
6,UGS-14,0.051772,0.051705,1.570567,1.570812
6,UGS-15,0.058186,0.057367,1.636220,1.636006
6,UGS-16,0.137696,0.137246,1.560734,1.560746
6,UGS-2,0.135032,0.136182,1.566447,1.566001
6,UGS-20,0.057915,0.057852,1.616942,1.616892
6,UGS-21,0.140514,0.140327,1.519178,1.519008
6,UGS-22,0.145854,0.146070,1.500922,1.501135
6,UGS-23,0.144572,0.145403,1.561624,1.561825
6,UGS-24,0.138768,0.139088,1.627142,1.627443
6,UGS-25,0.055070,0.055105,1.628945,1.628908
6,UGS-26,0.136810,0.136980,1.532267,1.532109
6,UGS-27,0.057808,0.057727,1.612234,1.612127
6,UGS-28,0.148665,0.149164,1.576770,1.577051
6,UGS-29,0.058527,0.058677,1.629579,1.629759
6,UGS-3,0.064840,0.065031,1.610161,1.610478
6,UGS-4,0.056212,0.056454,1.689068,1.688588
6,UGS-5,0.129179,0.128421,1.575034,1.574713
6,UGS-6,0.055348,0.055335,1.603781,1.604121
6,UGS-7,0.060888,0.061717,1.546765,1.546891
6,UGS-8,0.142137,0.141899,1.571841,1.572007
6,UGS-9,0.160046,0.160263,1.612155,1.612265
